Title,Link,Paragraphs,Topic,Image
Country singer Conner Smith allegedly hit and killed elderly woman in crosswalk,https://www.yahoo.com/entertainment/articles/country-singer-conner-smith-allegedly-002726103.html,"['', '', '', '', '', 'Country singer Conner Smith was accused of hitting and killing an elderly woman who was crossing the street.', 'The “Creek Will Rise” crooner, 24, was driving a Chevrolet Silverado pickup truck in Nashville, Tenn., when he allegedly failed to yield and struck a 77-year-old woman around 7:30 p.m. on Sunday, according to a press release from the Metropolitan Nashville Police Department.', 'The woman, identified as Dorothy Dobbins, was taken to Vanderbilt Medical Center where she was pronounced dead.', '“The preliminary contributing factor for this crash appears to be Smith failing to yield the right of way to the pedestrian,” the police department said in the release.', '“He showed no signs of impairment.”', 'The investigation is ongoing, and Smith has yet to be charged.', 'An attorney for Smith confirmed to People that he was “involved in a car accident that tragically claimed a life.”', '“His heart goes out to Ms. Dobbins’ family during this incredibly difficult time,” the statement said.', '“Mr. Smith continues to cooperate fully with the ongoing investigation.”', 'Reps for the musician weren’t immediately available to Page Six for comment.', 'Smith has been in the spotlight since he signed with Big Machine Label Group’s the Valory Music Co. in 2019, according to Music Row.', '“I’ve always been in love with the storytelling of country music,” he told the outlet in January 2024 before releasing his debut studio album titled “Smoky Mountains.”', '“I’ve dedicated my life to trying to figure out how to be a songwriter, and how to capture those same emotions that I felt as a kid growing up in this town,” he added.', '“Country music shaped so much of my life.”', 'Smith married surfer Leah Thompson in April 2024.']",Entertainment,https://news.google.com/api/attachments/CC8iL0NnNXBRWGd4UTI4eWRrMVRhRUZuVFJERUF4aW1CU2dLTWdtTk1aelduS214WndJ=-w280-h168-p-df
"Country singer Conner Smith involved in fatal pedestrian incident, police say",https://www.yahoo.com/news/country-singer-conner-smith-involved-003228657.html,"['', '', 'Country music performer Conner Smith was involved in a fatal incident involving a pedestrian in Nashville the evening of June 8, the Metropolitan Nashville Police Department said in a news release.', '""The preliminary investigation indicates that a Chevrolet Silverado pickup truck, driven by Conner Smith, 24, was traveling north on 3rd Avenue North as Dobbins was crossing the roadway,"" the news release said. ""It appears that she was inside a marked crosswalk when she was struck around 7:30 p.m.  Dobbins, who lived nearby, was transported to Vanderbilt University Medical Center where she died.', '""The preliminary contributing factor for this crash appears to be Smith failing to yield the right of way to the pedestrian,"" the Metropolitan Nashville Police Department news release continued. ""He showed no signs of impairment. There are no charges at present as the investigation continues.""', 'Smith\'s attorney, Worrick G. Robinson, issued a statement: “On June 8th, Mr. Smith was involved in a car accident that tragically claimed a life. His heart goes out to Ms. Dobbins’ family during this incredibly difficult time. Mr. Smith continues to cooperate fully with the ongoing investigation.""', ""Nashville-born Smith is signed to Big Machine's The Valory Music Co. label. He's been affiliated with the imprint since Oct. 2019."", 'In late 2021, Smith released ""I Hate Alabama,"" which became a viral TikTok favorite.', 'He\'s released two EPs and a debut album, ""Smoky Mountains,"" in Jan. 2024. That recording contained a gold-selling top-20 radio hit, ""Creek Will Rise.""', 'Smith was nominated for New Male Artist of the Year at the 2024 ACM Awards and was slated to be a special guest on dates of Luke Bryan\'s 2025 ""Country Song Came On"" Tour.', ""The fatal incident occurred on the final day of 2025's CMA Fest. There, a day prior, he'd made a 1:30 p.m. appearance on the Chevy Riverfront Stage. Days before that, he was a guest at the Folds of Honor military charity softball game at Nashville's First Horizon Park."", 'This article originally appeared on Nashville Tennessean: Country singer Conner Smith involved in fatal pedestrian incident, police say']",Entertainment,https://news.google.com/api/attachments/CC8iL0NnNXBRWGd4UTI4eWRrMVRhRUZuVFJERUF4aW1CU2dLTWdtTk1aelduS214WndJ=-w280-h168-p-df
Country music singer hits woman in crosswalk,https://www.wvlt.tv/video/2025/06/10/country-music-singer-hits-woman-crosswalk/,"['', '', '', '', '', '']",Entertainment,https://news.google.com/api/attachments/CC8iL0NnNXBRWGd4UTI4eWRrMVRhRUZuVFJERUF4aW1CU2dLTWdtTk1aelduS214WndJ=-w280-h168-p-df
"Country singer Conner Smith hits, kills woman walking dog in crosswalk, police say",https://www.wdhn.com/news/country-singer-conner-smith-hits-kills-woman-walking-dog-in-crosswalk-police-say/,"['WDHN - wdhn.com', '', '', 'by: Brittney Baird, Alix Martichoux', 'Posted: Jun 9, 2025 / 08:27 PM CDT', 'Updated: Jun 9, 2025 / 11:08 PM CDT', '', '', '', 'NASHVILLE, Tenn. (WKRN) — A woman was killed when she was hit by a vehicle while walking a dog in the Germantown neighborhood of Nashville Sunday night. Investigators have identified the driver as 24-year-old Conner Smith, a country singer and Nashville native.', 'According to local police, 77-year-old Dorothy Dobbins was walking from a dog park and was in a crosswalk when she was hit by a pickup truck. Dobbins was taken to Vanderbilt University Medical Center where she died.', 'Investigators believe Smith was driving a Chevrolet Silverado pickup truck north on Third Avenue North as Dobbins was crossing when he hit her around 7:30 p.m.', 'Police said Smith showed no signs of impairment. The preliminary cause of the crash was Smith “failing to yield the right of way” to Dobbins, the agency said in a release.', 'As of Monday, no charges had been filed.', '“On June 8th, Mr. Smith was involved in a car accident that tragically claimed a life. His heart goes out to Ms. Dobbins’ family during this incredibly difficult time. Mr. Smith continues to cooperate fully with the ongoing investigation,” Smith’s attorney said in a statement to Nexstar’s WKRN.', 'Photos from a performance in Nashville were posted to Smith’s official Instagram page Sunday, but there was no statement on the crash.', 'Smith appeared to be back in his hometown for CMA Fest, a country music festival that took place over the weekend. His most popular songs include “Creek Will Rise” and “I Hate Alabama.”', 'Copyright 2025 Nexstar Media Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.', 'If you’re looking for hurricane preparedness products, it’s helpful to understand what steps you need to take.', 'Here’s a list of some of the best cheap Father’s Day gifts out there right now. From clothing to grilling, there’s something here for every dad.', 'There are some things to know before using a portable air conditioner while camping and exposed to heat.', '', '', 'SUBSCRIBE NOW', '', '', 'SUBSCRIBE NOW', '', '', 'SUBSCRIBE NOW', '']",Entertainment,https://news.google.com/api/attachments/CC8iL0NnNXBRWGd4UTI4eWRrMVRhRUZuVFJERUF4aW1CU2dLTWdtTk1aelduS214WndJ=-w280-h168-p-df
Conner Smith Hits And Kills 77-Year-Old Woman During Alleged Crosswalk Car Accident,https://www.effinghamradio.com/2025/06/09/conner-smith-hits-and-kills-77-year-old-woman-during-alleged-crosswalk-car-accident/,"['Country singer Conner Smith was involved in a fatal car accident on Sunday (June 8), allegedly hitting and killing 77-year-old Dorothy Dobbins as she crossed a marked crosswalk in Nashville. The tragedy occurred on the last day of the CMA Fest 2025. Police say that there were no signs of impairment by Smith, and attribute the crash to his failure to yield to the pedestrian. An investigation into the incident is ongoing, with no charges filed at present. Smith’s attorney states he is fully cooperating with authorities, and that the 24-year-old singer expresses his condolences to the victim’s family. Smith was born and raised in Nashville, and released his 2024 debut album, Smoky Mountains, on Big Machine Records’ Valory label. He has previously opened for Luke Bryan on tour, and was nominated for New Male Artist of the Year at the 2024 ACM Awards. (People)', 'This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.']",Entertainment,https://news.google.com/api/attachments/CC8iL0NnNXBRWGd4UTI4eWRrMVRhRUZuVFJERUF4aW1CU2dLTWdtTk1aelduS214WndJ=-w280-h168-p-df
"77-year-old woman hit, killed by pickup truck in Nashville",https://www.wsmv.com/2025/06/09/77-year-old-woman-hit-killed-by-pickup-truck-nashville/,"['NASHVILLE, Tenn. (WSMV) - The Metro Nashville Police Department is investigating a crash that killed a 77-year-old woman Sunday night.', 'MNPD reports that Dorothy Dobbins was hit and killed by a pickup truck on 3rd Avenue North near Van Buren Street.', 'Here are instructions on how to watch WSMV4 live on various platforms.', 'The preliminary investigation shows that a Chevrolet Silverado driven by a 24-year-old was traveling on 3rd Avenue North as Dobbins was crossing the roadway. Police said it appears the 77-year-old was inside a marked crosswalk when she was hit by the truck at about 7:30 p.m.', 'Dobbins, who lived nearby, was taken to a local hospital, where she later died.', '“The preliminary contributing factor for this crash appears to be the driver failing to yield the right of way to the pedestrian,” MNPD said. “He showed no signs of impairment. There are no charges at present as the investigation continues.”', 'Copyright 2025 WSMV. All rights reserved.']",Entertainment,https://news.google.com/api/attachments/CC8iL0NnNXBRWGd4UTI4eWRrMVRhRUZuVFJERUF4aW1CU2dLTWdtTk1aelduS214WndJ=-w280-h168-p-df
"Country singer Conner Smith involved in fatal pedestrian incident, police say",https://www.tennessean.com/story/entertainment/music/2025/06/09/country-singer-conner-smith-involved-in-fatal-pedestrian-incident-police-say/84123320007/,"['Country music performer Conner Smith was involved in a fatal incident involving a pedestrian in Nashville the evening of June 8, the Metropolitan Nashville Police Department said in a news release.', '""The preliminary investigation indicates that a Chevrolet Silverado pickup truck, driven by Conner Smith, 24, was traveling north on 3rd Avenue North as Dobbins was crossing the roadway,"" the news release said. ""It appears that she was inside a marked crosswalk when she was struck around 7:30 p.m.  Dobbins, who lived nearby, was transported to Vanderbilt University Medical Center where she died.', '""The preliminary contributing factor for this crash appears to be Smith failing to yield the right of way to the pedestrian,"" the Metropolitan Nashville Police Department news release continued. ""He showed no signs of impairment. There are no charges at present as the investigation continues.""', 'Smith\'s attorney, Worrick G. Robinson, issued a statement: “On June 8th, Mr. Smith was involved in a car accident that tragically claimed a life. His heart goes out to Ms. Dobbins’ family during this incredibly difficult time. Mr. Smith continues to cooperate fully with the ongoing investigation.""', ""Nashville-born Smith is signed to Big Machine's The Valory Music Co. label. He's been affiliated with the imprint since Oct. 2019."", 'In late 2021, Smith released ""I Hate Alabama,"" which became a viral TikTok favorite.', 'He\'s released two EPs and a debut album, ""Smoky Mountains,"" in Jan. 2024. That recording contained a gold-selling top-20 radio hit, ""Creek Will Rise.""', 'Smith was nominated for New Male Artist of the Year at the 2024 ACM Awards and was slated to be a special guest on dates of Luke Bryan\'s 2025 ""Country Song Came On"" Tour.', ""The fatal incident occurred on the final day of 2025's CMA Fest. There, a day prior, he'd made a 1:30 p.m. appearance on the Chevy Riverfront Stage. Days before that, he was a guest at the Folds of Honor military charity softball game at Nashville's First Horizon Park.""]",Entertainment,https://news.google.com/api/attachments/CC8iL0NnNXBRWGd4UTI4eWRrMVRhRUZuVFJERUF4aW1CU2dLTWdtTk1aelduS214WndJ=-w280-h168-p-df
US country singer Conner Smith allegedly hit and killed elderly woman,https://www.stuff.co.nz/world-news/360719015/us-country-singer-conner-smith-allegedly-hit-and-killed-elderly-woman,"['Share', 'US country singer Conner Smith has been accused of hitting and killing an elderly woman as she crossed the street.', 'The incident occurred on 3rd Avenue North near Van Buren Street in the US state of Nashville on Sunday (local time), Metropolitan Nashville Police Department said in a statement.', 'The 24-year-old was driving a Chevrolet Silverado pickup truck when he failed to stop for Dorothy Dobbins, 77, who was inside a marked crosswalk, police said.', 'Dobbins was transported to Vanderbilt University Medical Centre, where she died.', '“The preliminary contributing factor for this crash appears to be Smith failing to yield the right of way to the pedestrian,” police said in a statement. “He showed no signs of impairment. There are no charges at present as the investigation continues.”', ""The day's talking point and stories you don't want to miss, delivered to your inbox"", '', 'Smith is signed to Big Machine Records and is known for the 2021 song I Hate Alabama, which went viral on TikTok.', 'His 2023 single Creek Will Rise became his first top 20 hit and he released his debut album Smoky Mountains in January 2024', 'Share']",Entertainment,https://news.google.com/api/attachments/CC8iL0NnNXBRWGd4UTI4eWRrMVRhRUZuVFJERUF4aW1CU2dLTWdtTk1aelduS214WndJ=-w280-h168-p-df
What Did Conner Smith Do? Country Singer Involved In Fatal Crash In Nashville,https://www.timesnownews.com/world/us/us-news/what-did-conner-smith-do-country-singer-involved-in-fatal-crash-in-nashville-article-151823317,"['Theme', 'World', 'US', 'UK', 'Europe', 'Asia', 'Middle East', 'Australia', 'Canada', 'Featured', 'US News', 'US Buzz', 'Updated Jun 10, 2025, 04:38 IST', 'Conner Smith (Photo Credits: Twitter)', 'News', 'World News', 'Us', 'Us News', 'Follow us :', '© 2025 Bennett, Coleman & Company Limited']",Entertainment,https://news.google.com/api/attachments/CC8iL0NnNXBRWGd4UTI4eWRrMVRhRUZuVFJERUF4aW1CU2dLTWdtTk1aelduS214WndJ=-w280-h168-p-df
Conner Smith named as driver in fatal car accident,https://www.music-news.com/news/UK/182428/Conner-Smith-named-as-driver-in-fatal-car-accident,"['Conner Smith has been involved in a fatal car accident in Nashville.', 'The country singer allegedly struck and killed a woman walking on a pedestrian crossing.', 'Smith was driving a pickup truck on 8 June when he hit a 77-year-old woman as she crossed the road inside a marked crosswalk, according to the Metropolitan Nashville Police Department.', 'The woman, who lived near the scene, was transported to hospital, where she later died.', '""The preliminary contributing factor for this crash appears to be Smith failing to yield the right of way to the pedestrian,"" the release said. ""He showed no signs of impairment.""', 'An investigation into the accident is ongoing, and there are no charges ""at present"" against Smith.', 'In a statement, Smith\'s attorney confirmed the Creek Will Rise singer was ""involved in a car accident that tragically claimed a life"".', '""His heart goes out to the family during this incredibly difficult time,"" the statement read. ""Mr. Smith continues to cooperate fully with the ongoing investigation.""', 'The incident took place on the final day of the annual CMA Fest, a four-day festival in Nashville.', 'Smith was nominated for New Male Artist of the Year at the 2024 ACM Awards.', 'He married surfer Leah Thompson in April 2024.']",Entertainment,https://news.google.com/api/attachments/CC8iL0NnNXBRWGd4UTI4eWRrMVRhRUZuVFJERUF4aW1CU2dLTWdtTk1aelduS214WndJ=-w280-h168-p-df
