Title,Link,Paragraphs,Topic,Image
LA Protests: Photos Show Waymo Cars on Fire in Riots,https://www.newsweek.com/los-angeles-protests-update-waymo-fire-2082612,"['This is a modal window.', '', '', '', '', '', '', 'Protests continued for a second night in downtown Los Angeles as demonstrators gathered in response to sweeping immigration enforcement raids.', 'The demonstrations, which began Friday and intensified through the weekend, drew thousands into the streets, with confrontations erupting between protesters and law enforcement. Tensions escalated further after President Donald Trump said he would deploy 2,000 California National Guard troops to the city—over the objections of Governor Gavin Newsom.', 'The unrest was initially sparked by an ICE raid outside a clothing warehouse in the Fashion District, where federal officials alleged the employer used fictitious documents for workers.', 'As ICE agents conducted arrests, protesters attempted to block their vehicles and later gathered at a downtown federal building, where they believed detainees were being held. Protests quickly spread to Paramount and Compton, where additional operations were reportedly underway.', 'The president ordered the National Guard to operate under federal command to ""address the lawlessness,"" bypassing the traditional authority of the state\'s governor. The troops were tasked with supporting ICE operations rather than engaging in direct law enforcement, though their presence on city streets has added to the confrontational atmosphere around protest sites.', 'Some groups within the crowd set fire to property and defaced vehicles, including multiple autonomous Waymo cars, which were torched near Pershing Square, their windows smashed and exteriors spray-painted. Protesters also surrounded and defaced a KTLA news van.', 'Videos and photographs showed tear gas deployed outside the Metropolitan Detention Center, where federal troops faced off with protesters on Sunday.', 'The chaos marked one of the most forceful uses of National Guard troops in a major U.S. city in recent years, highlighting the widening rift between federal and state leadership over immigration policy and protest management.', 'The Trump administration defended its immigration enforcement operation in Los Angeles, which it said was aimed at detaining undocumented individuals with outstanding deportation orders or criminal records. ICE confirmed a multi-day, citywide sweep involving tactical teams that began late Thursday.', ""In his deployment of the National Guard, Trump has overridden Governor Newsom, who would typically retain authority over California's troops under standard protocols."", '""If Governor Gavin Newscum, of California, and Mayor Karen Bass, of Los Angeles, can\'t do their jobs, which everyone knows they can\'t, then the Federal Government will step in and solve the problem, RIOTS & LOOTERS, the way it should be solved!!!"" the president wrote on his Truth Social platform on Saturday.', 'City leaders have warned that further protests may follow. In a statement on Friday, Mayor Karen Bass said of the immigration enforcement operation: ""It sows a sense of terror in the community. It\'s bad enough that it happened at this location, but the way this goes and spreads throughout the community, people are not sure where they are safe.""', 'Concerns are rising among local communities, and residents have been told to avoid public areas amid fears of the unrest.', 'Waymo is reportedly cooperating with authorities as they assess damage. The company had been running a pilot program with its self-driving vehicles in the city.', 'A spokesperson from the company told CNN: ""We are in touch with law enforcement"" in regard to the cars vandalized during the protests over the weekend.', '', '', ""Newsweek Is Committed To Journalism That'S Factual And Fair."", 'Hold Us Accountable And Submit Your Rating Of This Article On The Meter.', '', '', ""Dan Cody is a journalist based in London. His focus is increasing the search visibility of Newsweek's reporting across all ... read more"", 'Newsletters in your inbox See all', 'Company', 'Editions:', 'Contact', 'Terms of Use', '© 2025 NEWSWEEK DIGITAL LLC']",U.S.,https://news.google.com/api/attachments/CC8iL0NnNXpTMnhqU1MxRFZGQlJiM2RGVFJDUUF4allCQ2dLTWdrQkFvNktMV1pNb2dJ=-w280-h168-p-df
How burning Waymos became the image of the LA protests,https://www.theverge.com/google-waymo/682932/la-protest-waymo-fire-destroy-ice-police,"['For supporters of the protests, the robotaxis are a surveillance risk. To the right wing and even some liberals, their destruction is evidence of violence.', '', 'Is there a more potent image from the current anti-ICE protests in Los Angeles than a row of driverless Waymo vehicles covered in anti-ICE slogans and engulfed in flames?', 'At least five Waymos were destroyed during the protests over the weekend, CNN reports. And the company tells us that it has suspended its service in certain parts of the city under direction from the Los Angeles Police Department.', 'As we’ve seen before, Waymo’s autonomous vehicles have a way of turning into collateral damage during times of civil unrest. They are often sitting ducks, lacking an innate ability to avoid the scene or flee when surrounded by a group of people. Unlike Immigration and Customs Enforcement, they won’t run over protesters who stand in their way — their programming forbids it. And their presence likely adds fuel to a volatile situation, where protests against ICE and billionaire oligarchs are in coexistence. Waymo insists the protests aren’t related to its service, but it seems clear the robotaxis represent a change that a lot of people are unhappy about.', 'While the protesters aren’t rallying in opposition to the Alphabet-owned company, others watching from afar can’t help but draw some conclusions about the tech industry in general’s role in society today.', 'Critics note that Waymo’s robotaxis are festooned with cameras, which they use to perceive their environment and detect obstacles. But the cameras are also recording their surrounding environment and storing the footage. The company has been known to share that footage with law enforcement agencies, including the LAPD, when requested or subpoenaed. So it makes sense, these critics theorize, that protesters who are worried about their identities being revealed by rolling “surveillance devices” would seek to destroy them.', 'Waymo is a project of Google, whose CEO, Sundar Pichai, attended Donald Trump’s inauguration. And the company’s effort to replace human drivers with robots is a threat to blue-collar jobs — to say nothing of its work on AI and all the societal implications on labor and education that entails.', 'The destruction underscores a serious obstacle to Waymo’s future. By all accounts, most people in Los Angeles like the driverless cars. LA hasn’t experienced the same fierce objections to Waymo as San Francisco. Most of the time, the company has an incredible ability to coast on good vibes and customer delight. The novelty is powerful, and Waymo’s ability to avoid most dangerous situations, while other autonomous vehicle companies have been less lucky, has helped propel it to the front of the pack in the robotaxi race.', 'But some residents still feel left out of the technological revolution, and those feelings are laid bare during civil unrest like what’s unfolding in LA. They see the gleaming, futuristic robots rolling down the street, with their spinning sensors and all-seeing cameras, and they ask, Why? Did they consent to taking part in an experiment by Big Tech to see if robots can be trained to be better drivers than humans? Will this serve their communities? They point to the examples of blocked intersections, low-speed collisions with pedestrians or cyclists, or minor traffic infractions, and they ask whether this technology is really as ready as the company claims.', 'The burning Waymos rankle plenty of people, too, even those who support the cause of the protesters. Liberals, especially, often decry the destruction of property and worry that the images of flaming vehicles fuel the right-wing narrative about “lawless cities” and “radicals” or “paid protesters” facing off with law enforcement officers just trying to do their jobs. And they urge protesters to avoid falling into the trap that the right has set for them.', 'The burning Waymos rankle plenty of people, too.', 'But of course, it’s never so simple. If Waymo continues to expand to new cities, it will naturally come into conflict with protests, just as it does with street festivals, sports victories, and other situations in which the destruction of property is occasionally the unintended outcome. And if the company continues to cooperate with law enforcement, it may find itself increasingly at odds with communities that distrust these agents of the state.', '“Safety is our highest priority,” Waymo spokesperson Ethan Teicher said in an email. “We removed vehicles from Downtown Los Angeles and will not be serving that specific area for the time being, out of an abundance of caution and with guidance from LAPD.”', 'The company’s mission is to become the world’s “most trusted driver” by making transportation safer and more accessible. And there are cases when Waymo releasing footage to law enforcement can be helpful, like when one of its vehicles witnesses a hit-and-run. But as the company becomes a bigger part of city life, it will inevitably come into conflict with all the many forces that are currently roiling our country. And that’s something that not even the world’s most trusted driver can avoid.', '', '© 2025 VOX MEDIA, LLC. ALL RIGHTS RESERVED', '', '', '', '', '', '', '', '']",U.S.,https://news.google.com/api/attachments/CC8iL0NnNXpTMnhqU1MxRFZGQlJiM2RGVFJDUUF4allCQ2dLTWdrQkFvNktMV1pNb2dJ=-w280-h168-p-df
Protesters Set Waymo Taxis on Fire in Downtown Los Angeles,https://www.nytimes.com/video/us/100000010216386/waymo-fire-los-angeles-protests.html,"['new video loaded: Protesters Set Waymo Taxis on Fire in Downtown Los Angeles', 'NOW PLAYING', '1:24', '2:11', '1:31', '1:46', '2:38', '0:46', '2:19', '0:43', '0:41', '0:20', '2:27', '']",U.S.,https://news.google.com/api/attachments/CC8iL0NnNXpTMnhqU1MxRFZGQlJiM2RGVFJDUUF4allCQ2dLTWdrQkFvNktMV1pNb2dJ=-w280-h168-p-df
"Gas station looted, car set on fire in anti-ICE protests",https://www.nbcnews.com/video/gas-station-looted-car-set-on-fire-in-anti-ice-protests-241140805928,"['', '', '', '', '', '', '', '', '', '', 'During anti-ICE protests in California, a gas station was looted and a car was set on fire. Officials deployed pepper spray and flashguns to control the crowd.\nJune 8, 2025', '', '© 2025 NBCUniversal Media, LLC', '', '', '', '', '', '', '', '', '']",U.S.,https://news.google.com/api/attachments/CC8iL0NnNXpTMnhqU1MxRFZGQlJiM2RGVFJDUUF4allCQ2dLTWdrQkFvNktMV1pNb2dJ=-w280-h168-p-df
Authorities fire projectiles amid anti-ICE protests,https://www.msnbc.com/msnbc/watch/authorities-fire-projectiles-amid-anti-ice-protests-241147973651,"['', '', '', '', '', '', '', 'President Donald Trump deployed the National Guard in Los Angeles against the wishes of state leaders as anti-ICE protests continue. NBC News’ David Noriega details the clashes as officers use flash-bangs to disperse demonstrators. \nJune 9, 2025', '', '© 2025 MSNBC Cable, L.L.C.', '']",U.S.,https://news.google.com/api/attachments/CC8iL0NnNXpTMnhqU1MxRFZGQlJiM2RGVFJDUUF4allCQ2dLTWdrQkFvNktMV1pNb2dJ=-w280-h168-p-df
Waymo Halts Service in Downtown Los Angeles After Its Taxis Are Set on Fire,https://www.nytimes.com/2025/06/09/us/waymo-la-protests-vehicles-fire.html,"['L.A. Protests', 'ADVERTISEMENT', '', 'Protesters smashed the windows of multiple Waymo robot taxis and then set them on fire. The police warned of toxic fumes released by burning lithium-ion batteries.', 'By Jenny Gross', 'Waymo, the robot taxi company, cut off service to the downtown Los Angeles area after protesters set multiple self-driving vehicles on fire on Sunday, sending smoke into the air.', 'The protests in other parts of the city against President Trump’s crackdown on immigration have been largely peaceful, but law enforcement officers have reported that demonstrations have become “worse and more violent” since they began on Friday.', 'A Waymo spokeswoman said that the company had cut off service to the downtown Los Angeles area and had removed the burned vehicles from the streets. After protesters smashed windows and spray-painted anti-U.S. Immigration and Customs Enforcement messages onto the taxis and set them alight, some protesters threw electric Lime scooters into the flames, the Los Angeles Times reported.', '“Burning lithium-ion batteries release toxic gases, including hydrogen fluoride, posing risks to responders and those nearby,” the Los Angeles Police Department said on social media, urging people to avoid the area.', 'Waymo, which is owned by Google’s parent company, Alphabet, has completed more than five million rider-only rides, according to the company’s website, and began operating in Los Angeles last year. Waymo’s robot taxis are ubiquitous on San Francisco’s hilly roads.', 'The driverless taxis operate in San Francisco, Phoenix, Austin and Los Angeles, with prices similar to those of Uber and Lyft. The company plans to soon begin operating in Atlanta through a partnership with Uber.', 'Jenny Gross is a reporter for The Times covering breaking news and other topics.', 'ADVERTISEMENT']",U.S.,https://news.google.com/api/attachments/CC8iL0NnNXpTMnhqU1MxRFZGQlJiM2RGVFJDUUF4allCQ2dLTWdrQkFvNktMV1pNb2dJ=-w280-h168-p-df
No title found,https://www.thefp.com/p/la-riots-protests-illegal-immigration-trump,"['LOS ANGELES — About three hours into the third day of the immigration protests in downtown Los Angeles, a dozen or so protesters started breaking up large rocks lining the gap between the street and an off-ramp and hurling them onto the 101 Freeway below. The California Highway Patrol (CHP) had closed the southbound side after protesters had tried to seize it. Police cars and SUVs were parked there, and they were getting pummeled by the rocks. As one officer drove away, a rock smashed the police car’s windshield. (You can watch some of this scene in a video by The Free Press’s Austyn Jeffs here.)', 'This went on for at least an hour. I didn’t see anyone get arrested.', 'When one of the rock-throwing protesters saw me taking pictures, he ordered me to delete the ones that showed anyone who was unmasked. “We’ll fuck you up,” he threatened. I deleted them; he gave me a fist bump.', 'Rocks weren’t the only projectiles. I saw protesters tossing commercial-grade fireworks at the police, which sounded like bombs. Between the fireworks and the flash-bangs, there was a concussive explosion about once a minute.', 'I have been to dozens of mass protests like the one that exploded in Los Angeles on Friday. What I saw in Los Angeles on Sunday was different. It felt like it could be the prelude to something even worse.', 'Even before the rocks started flying, the police were responding to protesters who were throwing benign projectiles like empty plastic water bottles by firing rubber bullets and flash-bangs directly at them.', '“They were shooting randomly,” said protester Louis Gallardo from Dallas, showing me a massive welt on his rib cage from being struck by a rubber bullet. He said the police pulled a woman he was with out of the crowd and arrested her.', 'A man I spoke to pointed out that those rocks were big enough to kill people. They were.', 'What I saw didn’t seem random at all. CHP officers were methodically picking out targets through their gun scopes and firing less-lethal munitions at them.', 'When I arrived downtown late Sunday afternoon, tens of thousands of protesters occupied about eight square blocks above the closed 101 Freeway. Helicopters soared overhead. A Waymo in a line of Waymo taxis was engulfed in bonfire-size flames, a massive plume of black smoke clogging the sky above it. The others were smashed and covered in graffiti. Within an hour, they would all be on fire.', '“I’m not really into politics,” Daniel Flores, a young protester from Los Angeles, told me. “But in this situation, it affects my family, and it affects everyone that I love. So I have to get involved somehow.”', 'The usual choreography of these protests goes something like this: Thousands of normal people show up, along with a smaller contingent of organized agitators. The agitators engage in enough petty property damage to create a situation in which there is a standoff with the cops. Under the cover of the crowd, they then engage in more serious property destruction. If they are emboldened enough, these agitators might launch some largely symbolic attacks on police lines: throwing trash, vandalizing an unattended police cruiser, that kind of thing.', 'If the strategy is successful, it provokes a violent reaction from the police that is directed at the general mass of protesters. The experience of being attacked by the police when you haven’t done anything illegal outrages the nonviolent majority of the crowd, which then becomes incrementally more violent in return. The situation escalates.', 'Sunday did not follow that script.', 'Though the rock-throwing protesters were masked, they did not have the telltale signs of being antifa types. They weren’t clad in black with anarchist patches safety-pinned to their hoodies. They carried no flags or shields. They were not predominantly white.', 'They also weren’t incrementally ratcheting up their activity. They had escalated straight into serious violence.', 'Several protesters I spoke to were strongly opposed to the rock-throwing. One woman cursed out a man who had thrown some kind of smoke canister at the police below. A man I spoke to pointed out that those rocks were big enough to kill people. They were.', 'Late in the afternoon, police reopened the northbound side of the 101. While protesters and cops hurled rocks and fired munitions at one another, civilian traffic zoomed by on the opposite side. There was an endless cascade of honks in support of the protesters. It is quite obvious that the public here deplores the recent immigration raids. But it seemed like only dumb luck that one of the rocks or fireworks didn’t land in the honking traffic.', 'The right is describing the protests as a violent “insurrection.” The left wants to portray them as largely peaceful. Many in the middle might assume that both portrayals are correct: Generally peaceful demonstrations are being hijacked by extremists and criminal elements.', 'The immigrant communities here, legal and illegal, generally are not seen as an occupying army of foreigners. They are largely taken for granted by most Californians as part of the social fabric.', 'The reality is that no protest is ever just one thing. I saw people who aimed to injure or even kill police officers, and who would have been happy to instigate massive civil unrest. This faction seemed to be outnumbered, though, by those who looked at what they were doing with disapproval but were powerless to stop it.', 'While I saw only a small sliver of what has happened across Los Angeles during the past four days, almost all of the people I spoke to told me they are angry and scared about the raids. “What is he doing sending ICE out into elementary schools?” a woman who said her first name was Dulca asked me about President Trump.', '“I’m seeing lots of people my age out here protesting for their parents,” Ignacio Vazquez, a 30-year-old amateur photographer who grew up in South Central Los Angeles, told me.', 'I have lived in California for more or less my entire life. I have covered immigration here. Despite the national outrage over mass illegal immigration during the Biden presidency, things do not feel noticeably different in Los Angeles or the Bay Area from how they have for decades. The immigrant communities here, legal and illegal, generally are not seen as an occupying army of foreigners. They are largely taken for granted by most Californians as part of the social fabric, no more alien than people who moved here from the East Coast.', 'The demonstrations are ugly, but so is what precipitated them. I asked Dulca what it feels like to live in Los Angeles these days. I expected her to say she was terrified, but instead she pointed to the protests. “Everyone in L.A. is coming together,” she said.\n\nThat may be true. But it also felt like a bomb ready to explode.', 'More on the L.A. riots:', '', 'Leighton is a freelance journalist and documentary filmmaker. He writes at leightonwoodhouse.substack.com.']",U.S.,https://news.google.com/api/attachments/CC8iL0NnNXpTMnhqU1MxRFZGQlJiM2RGVFJDUUF4allCQ2dLTWdrQkFvNktMV1pNb2dJ=-w280-h168-p-df
Fiery photos show Waymo self-driving cars set on fire during LA protests,https://www.usatoday.com/picture-gallery/news/nation/2025/06/09/waymo-cars-fire-los-angeles-photos/84113502007/,[],U.S.,https://news.google.com/api/attachments/CC8iL0NnNXpTMnhqU1MxRFZGQlJiM2RGVFJDUUF4allCQ2dLTWdrQkFvNktMV1pNb2dJ=-w280-h168-p-df
Protesters set Waymo cars on fire in Los Angeles anti-ICE protests,https://www.yahoo.com/news/protesters-set-waymo-cars-fire-034551675.html,"['', '', '', '', '', 'STORY: :: June 8, 2025', ':: Los Angeles, California', ':: Protesters set Waymo cars on fire in Los Angeles on the third day of anti-ICE demonstrations', ""Alphabet's (GOOGL.O) Waymo is the only U.S. firm to run uncrewed robotaxi services carrying paying passengers."", 'The company has more than 1,500 vehicles on the road across San Francisco, Los Angeles, Phoenix and Austin, Texas, and runs over 250,000 rides a week.', 'Law enforcement faced off with a few hundred protesters in Paramount and 100 in downtown Los Angeles on Saturday (June 7), with federal officers firing gas canisters in efforts to disperse crowds, according to Reuters witnesses.', 'The National Guard began deploying as demonstrations over federal immigration raids continued for a third day in Los Angeles, culminating in confrontations between protesters and police.']",U.S.,https://news.google.com/api/attachments/CC8iL0NnNXpTMnhqU1MxRFZGQlJiM2RGVFJDUUF4allCQ2dLTWdrQkFvNktMV1pNb2dJ=-w280-h168-p-df
Protesters block major highway in California,https://www.foxnews.com/video/6374033524112,"['', '', '', ""Fox News correspondent Christina Coleman has the latest on the escalation in Los Angeles' riots on 'The Big Weekend Show.'"", '©2025 FOX News Network, LLC. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. All market data delayed 20 minutes.']",U.S.,https://news.google.com/api/attachments/CC8iL0NnNXpTMnhqU1MxRFZGQlJiM2RGVFJDUUF4allCQ2dLTWdrQkFvNktMV1pNb2dJ=-w280-h168-p-df
