Title,Link,Paragraphs
American Airlines flight from New York to New Delhi diverted to Rome after security concern,https://www.cbsnews.com/news/american-airlines-flight-new-york-new-delhi-india-diverted-rome-security-issue/,"['Watch CBS News', 'By Lucia Suarez Sang', 'Updated on: February 23, 2025 / 6:52 PM EST / CBS News', 'An American Airlines flight en route from New York City to New Delhi, India, was turned around over the Caspian Sea on Sunday and landed in Rome after a security concern, which later proved to be ""non-credible,"" the airline said.', 'A spokesman for the Leonardo da Vinci International (FCO) Airport told CBS News that the 199 passengers and 15 crew members aboard the aircraft were made aware of the problem while it was over the Caspian Sea. They said it landed at FCO airport because it can cope with this type of incident, however, they did not elaborate on the reason for the change in flight plans.', 'An American Airlines spokesperson told CBS News Flight 292 was diverted due to a security concern, but did not elaborate.', '""The flight landed safely at FCO, and law enforcement inspected and cleared the aircraft to re-depart,"" the spokesperson said, adding that the issue was determined to be ""non-credible.""', ""The FCO spokesperson said two Italian military fighter jets flanked the plane as it arrived at Rome's airport."", 'Fire trucks were visible on the landing strip on one side of the plane after it landed. No injuries were reported. The airport continued to operate normally, the spokesman told the Associated Press.', 'A spokesperson for American Airlines told CBS News that ""safety and security are our top priorities and we apologize to our customers for the inconvenience.""', 'Neeraj Chopra, one of the passengers on the flight, told the AP that the captain alerted the plane that they needed to turn around about three hours before they were supposed to land in Dehli because of a change in ""security status.""', 'Chopra said he began to stress when the captain later announced that fighter jets would be escorting their plane to Rome', '""I felt a little panic of, OK, what\'s going on here?"" Chopra told the AP. ""There\'s got to be like something bigger going on here.""', 'The flight, which departed from John F. Kennedy International Airport, was heading to Indira Gandhi International Airport (DEL) in the capital of India. The flight will stay in Rome overnight to allow for the rest required for the crew before continuing to India as soon as possible on Monday.', 'Lucia Suarez Sang is an associate managing editor at CBSNews.com. Previously, Lucia was the director of digital content at FOX61 News in Connecticut and has previously written for outlets including FoxNews.com, Fox News Latino and the Rutland Herald.', '© 2025 CBS Interactive Inc. All Rights Reserved.', 'Copyright ©2025 CBS Interactive Inc. All rights reserved.']"
American Airlines flight from New York to Delhi diverts to Rome due to security concern,https://www.pbs.org/newshour/nation/american-airlines-flight-from-new-york-to-delhi-diverts-to-rome-due-to-security-concern,"['', '', 'Associated Press', 'Leave your feedback', 'ROME (AP) — An American Airlines flight from New York to New Delhi, India, landed safely in Rome on Sunday afternoon after it was diverted due to a security concern, which later proved to be “non-credible,” the airline said.', 'American Airlines said Flight 292 “was inspected by law enforcement” after landing at Leonardo da Vinci International Airport and “cleared to re-depart.”', 'It didn’t clarify the cause of the security concern, but added an inspection was required by protocol before the flight could land in New Delhi.', 'WATCH: Former FAA administrator discusses the current state of aviation safety', '“The flight will stay in Rome overnight to allow for required crew rest before continuing to Delhi as soon as possible tomorrow,” the airline said.', 'An Associated Press reporter filmed two fighter jets flying over the airport shortly before the unscheduled landing. Fire trucks were visible on the landing strip on one side of the plane after it landed.', 'Neeraj Chopra, one of the passengers on flight, said the captain alerted the plane that they needed to turn around about three hours before they were supposed to land in Dehli because of a change in “security status.”', 'Chopra, who was traveling from Detroit, Michigan to visit family, described the mood on the plane as calm after the initial announcement but said he begin to stress when the captain later announced that fighter jets would be escorting their plane to Rome.', '“I felt a little panic of, okay, what’s going on here?” Chopra told the AP. “There’s got to be like something bigger going on here.”', 'Chopra said he has a new flight leaving Monday.', '“It’s been like a pretty chaotic crazy last 24 hours,” he said.', 'The airport continued to operate normally, a spokesman with Rome’s airport said.', 'Left: FILE PHOTO: A Boeing 787-9 Dreamliner from American Airlines lands at Barcelona airport in Spain, May 27, 2024. Photo by JoanValls/Urbanandsport /NurPhoto via Getty Images', 'By Associated Press', 'By Amna Nawaz, Azhar Merchant', 'By Michael Casey, Associated Press', 'By Tara Copp, Associated Press', 'By Josh Funk, Associated Press', 'Associated Press', 'Support Provided By:\nLearn more', 'Subscribe to Here’s the Deal, our politics newsletter for analysis you won’t find anywhere else.', '', 'Watch Feb 22\nThe Project 2025 policies the Trump administration is already implementing', 'Read Feb 21\nCould Trump really give money from Musk’s DOGE cuts to taxpayers?', 'Watch Feb 21\nBrooks and Capehart on Republicans facing backlash over federal cuts', 'Watch Feb 21\nThe potential impact of a Trump takeover of USPS', 'Read Feb 23\nTrump administration moves ahead with firing 2,000 USAID workers, with thousands more put on leave', 'Politics Feb 23', 'By Ellen Knickmeyer, Associated Press', 'World Feb 23', 'By Jill Lawless, Sylvie Corbet, Associated Press', 'Science Feb 23', 'By Steven R. Fassnacht, The Conversation', 'Nation Feb 23', 'By Associated Press', 'World Feb 23', 'By Justin Spike, Illia Novikov, Associated Press', '', '', '', '', '', '', '© 1996 - 2025 NewsHour Productions LLC. All Rights Reserved.', 'PBS is a 501(c)(3) not-for-profit organization.', 'Sections', 'About', 'Stay Connected', ""Subscribe to Here's the Deal with Lisa Desjardins"", '', 'Learn more about Friends of the News Hour.', 'Support for News Hour Provided By']"
American Airlines New York-Delhi flight makes unscheduled landing in Rome. Here’s what happened,https://www.livemint.com/news/world/american-airlines-flight-bomb-threat-285-flyers-new-york-to-delhi-diverted-to-rome-report-11740325745136.html,"['An American Airlines flight from New York to New Delhi was diverted to Rome on Sunday afternoon following ""a possible security concern,"" the airline confirmed in a statement.', 'American Airlines flight 292, with service from New York to Delhi, diverted to Rome due to a possible security concern,"" the airline said. ""The flight landed safely at FCO, and law enforcement inspected and cleared the aircraft to re-depart.""', 'While the airline did not provide details on the nature of the security incident, an Italian airport spokesperson stated the diversion was due to an ""alleged bomb scare.""', 'The Boeing aircraft, carrying 199 passengers plus crew, landed at Rome’s Fiumicino Airport at 5:22 pm (1622 GMT) without further incident. All passengers disembarked and were provided assistance at the airport, with operations remaining unaffected.', 'The US Federal Aviation Administration (FAA) confirmed the plane had landed safely ""after the crew reported a security issue."" The flight was also escorted by two military fighter planes, according to the Italian airport spokesperson.', 'An airline official explained that the aircraft was diverted due to Indian security protocols. ""The possible issue was determined to be non-credible, but per DEL Airport protocol, an inspection was required before landing at DEL,"" the official said, speaking on condition of anonymity.', 'The American Airlines flight is expected to remain in Rome overnight to allow for the required crew rest before resuming its journey to New Delhi the following day.', ""One of the passengers on board, Neeraj Chopra, said the captain announced that the plane's course was changed after pilot's announcement on emergency landing due to change in “security status”"", 'Chopra, who was traveling from Detroit to visit family, described the mood on the plane as calm after the initial announcement but said he began to feel stressed when the captain later announced that fighter jets would be escorting their plane to Rome.', '“I felt a little panic of, okay, what’s going on here?” Chopra told the AP. “There’s got to be like something bigger going on here.”', '“It was definitely the longest flight to Europe I’ve ever taken,” said Jonathan Bacon, 22, from Dayton, Ohio.', '(With AFP inputs)', 'Catch all the Business News , Breaking News Events and Latest News Updates on Live Mint. Download The to get Daily Market Updates.', 'While handwriting experts confirmed that it was his signature on the personal guarantees for loans given to his now-bankrupt healthcare company, Shetty has disputed the findings.', 'Download the Mint app and read premium stories', '', '']"
“Getting Out Of Hand”: American Airlines Flight Diverts After Bomb Threat On Board,https://www.aol.com/getting-hand-american-airlines-flight-203205493.html,"['Advertisement', '', '', 'Reports indicate an American Airlines flight heading to Delhi, India from the JFK airport in New York was forced to make a U-turn under a fighter jet escort after a bomb threat.', 'American Airlines Flight 292 was near Turkmenistan when it had to make its sudden diversion, being grounded in Rome due to a “possible security issue,” according to the airline, confirmed just this Sunday, February 23.', 'As reported by Daily Mail, the plane was a Boeing 787-9 Dreamline and was carrying 285 passengers. They were escorted out of the sky thanks to two Italian Air Force Eurofighter Typhoon warplanes immediately after the alarming alert.', 'It safely taxied in Rome, Italy at 11:15am ET.', 'Image credits: Donna White / Unsplash (Not the actual photo)', 'Breaking: American Airlines Flight AA292, traveling from New York (JFK) to New Delhi (DEL), has made an emergency diversion to Rome following a reported threat. The aircraft is currently being escorted by Eurofighter jets as it approaches the airport. pic.twitter.com/q4DzpURjGc', '— Brian Krassenstein (@krassenstein) February 23, 2025', '“Safety and security are our top priorities and we thank our customers for their understanding. We are working closely with local authorities and will provide updates as the situation develops,” said American Airlines.', 'At the time of writing, Italian authorities are currently in the midst of handling the situation. ', 'With the countless plane incidents that have dominated news headlines as of late, one question is circling the minds of many: What is going on with aviation? Especially given how safe many airports are in American states, these reports have been sending people into a frenzy.', 'Image credits: The Aviationist', '“This should not be happening on American flights,” one person stated. “Leaving from New York (JFK) one of the most strict airports obviously for good reason. I hope they are bale [sic] to land safely soon.” ', '“So glad they are safely on the ground. The crew deserves thanks and praise for handling what I assume was a scary incident,” another wrote.', 'A third recalled, “The chaos of this past month has opened the door to the possibility for a lot of these headlines. Lords save us. Stay safe all of you.”', 'And chaos is exactly the word to use when looking back at all the aviation tragedies that have happened in this year alone.', 'Image credits: Turbinetraveler', '🎥 WATCH: American Airlines #AA292 lands safely at Rome-Fiumicino after a mid-air bomb threat forced an emergency diversion.', 'Italian Air Force Eurofighters can be seen escorting the Boeing 787-9 (N840AN) as it touches down. pic.twitter.com/3y90Ncmpxv', '— Antony Ochieng,KE✈️ (@Turbinetraveler) February 23, 2025', 'Two months into 2025, and one of the most searched questions is: How safe are planes right now?', 'These worries began to arise after the devastating mid-air collision between an American Airlines commercial plane and a military Black Hawk helicopter right outside the Ronald Reagan Washington National Airport on the evening of January 29. Both aircrafts plunged into the Potomac River, killing all 67 people.', 'It was marked as one of the deadliest aviation disasters in U.S. history.', 'Image credits: ItalianAirForce', '#Scramble: nel pomeriggio due #Eurofighter dell’#AeronauticaMilitare sono decollati su allarme per identificare e scortare un aereo di linea diretto a Delhi che aveva invertito rotta verso l’aeroporto di Fiumicino (RM) per una segnalazione di un presunto ordigno esplosivo a bordo pic.twitter.com/qocq43lC6H', '— Aeronautica Militare (@ItalianAirForce) February 23, 2025', 'Despite it all, experts assure worried passengers that flying is still the safest mode of transportation.', '“Although these incidents have occurred, there is still a track record of several dozen years of safe aviation,” said Rep. Darius Kila, the chair of the House Committee on Transportation.', 'They continued, “One incident is one too many, and to see several, not just in a period of five months but several days, I think folks have the right to feel concerned.”', 'At the end of the day, however, the representative said they will “move mountains” because safety will always remain “the number one priority.”', 'The post “Getting Out Of Hand”: American Airlines Flight Diverts After Bomb Threat On Board first appeared on Bored Panda.', 'Advertisement', 'Advertisement']"
No title found,https://www.msn.com/en-ie/entertainment/news/mikey-madison-stuns-in-silver-at-sag-awards-in-la/vi-AA1zDyEE,"['Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Personalised ads and content, ad and content measurement, audience insights and product development.\nList of Partners (vendors)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
,https://www.euronews.com/my-europe/2025/02/23/american-airlines-flight-diverts-to-rome-after-bomb-threat-over-caspian-sea,"['With your agreement, we and our 892 partners use cookies or similar technologies to store, access, and process personal data like your visit on this website, IP addresses and cookie identifiers. Some partners do not ask for your consent to process your data and rely on their legitimate business interest. You can withdraw your consent or object to data processing based on legitimate interest at any time by clicking on “Learn More” or in our Privacy Policy on this website.', 'We and our partners process data for the following purposes\nMeasure audience, Personalised advertising and content, advertising and content measurement, audience research and services development , Precise geolocation data, and identification through device scanning, Storage and access to geolocation information for targeted advertising purposes, Storage and access to geolocation information to carry out marketing studies, Store and/or access information on a device', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"American Airlines flight diverted to Rome over 'possible security issue,' ABC News reports",https://www.jpost.com/breaking-news/article-843421,"['An American Airlines flight out of New York to New Delhi was diverted to Rome on Sunday over a ""possible security issue,"" ABC News reported, citing a statement by the airline.', 'American Airlines Flight 292, which departed from John F. Kennedy International Airport, was heading to Indira Gandhi International Airport in New Dehli. It has landed safely at the Leonardo da Vinci Rome Fiumicino Airport, the airport told ABC News.', 'By subscribing I accept the terms of use and privacy policy', '', '', '', '', '']"
American Airlines flight from New York to Delhi lands safely in Rome after reported security issue,https://www.nbcphiladelphia.com/news/national-international/american-airlines-flight-new-york-reported-security-issue/4116682/?os\u003dhttpadfdfwww.google.com\u0026ref\u003dapp,"['Fatal crashes of commercial aircraft in the U.S. have become a rarity, but they have happened. Here are some of the deadliest commercial plane crashes in the U.S.', 'An American Airlines flight from New York to New Delhi, India, landed safely in Rome on Sunday after it was diverted due to a security issue, according to the Federal Aviation Administration.', 'The FAA did not elaborate on what the security issue was, but said it was reported by crew aboard American Airlines Flight 292. American Airlines did not return multiple messages seeking comment.', '', 'THIS IS A BREAKING NEWS UPDATE. AP’s earlier story follows below.', '', 'An American Airlines flight en route from New York to New Delhi turned around over the Caspian Sea on Sunday and landed in Rome, a spokesman with the Leonardo da Vinci International Airport said.', 'The spokesman, Francesco Garibaldi did not give the reason for the change in flight plans. He said security checks would be performed as soon as the 199 passengers on board, plus the crew, leave the plane.', 'An Associated Press reporter filmed two fighter jets flying over the airport shortly before the unscheduled landing. Fire trucks were visible on the landing strip on one side of the plane after it landed.', 'The airport continues to operate normally, the spokesman said.', '', '', '', '', '', '', '', '']"
American Airlines flight diverted to Rome over 'possible security issue',https://www.yahoo.com/news/american-airlines-flight-diverted-rome-164900366.html,"['', '', '', '', '', 'An American Airlines flight out of New York was diverted to Rome on Sunday over a ""possible security issue,"" the airline said in a statement.', 'American Airlines flight 292, which departed from John F. Kennedy International Airport, was heading to Indira Gandhi International Airport in New Delhi.', 'Italian Air Force fighter jets escorted the aircraft to Leonardo da Vinci Rome Fiumicino Airport, where it landed safely, the airport told ABC News.', '""Safety and security are our top priorities and we thank our customers for their understanding,"" the airline said in a statement.', 'A senior official briefed on the matter told ABC News a bomb threat was received by email but was deemed to be unfounded.', 'Indian authorities insisted the aircraft be checked out prior to landing in New Delhi, the official said.', 'There were 199 passengers on the plane, as well as 15 crew members, the airline said.', 'Passengers were being bussed to the terminal for screening, and the aircraft will be checked.', ""ABC News' Josh Margolin contributed to this report."", ""American Airlines flight diverted to Rome over 'possible security issue' originally appeared on abcnews.go.com""]"
"New York-Delhi Flight Diverted To Rome Over ""Bomb Scare"": Report",https://www.ndtv.com/world-news/new-york-delhi-flight-diverted-to-rome-over-security-threat-report-7778284,"['An American Airlines flight from New York to New Delhi was diverted to Rome due to a ""bomb scare"", news agency AFP reported quoting airport officials.', ""American Airlines flight AA292 departed New York's JFK International Airport on February 22 and was scheduled to arrive at Delhi but was diverted to Rome. The Boeing plane carrying 199 passengers plus crew landed at Rome's Fiumicino airport."", 'Italy\'s ANSA news agency also said that the diversion was caused by an ""alleged bomb threat"".', 'The flight has landed safely at the Leonardo da Vinci Rome Fiumicino Airport, the airport authorities told ABC News.', '""Safety and security are our top priorities and we thank our customers for their understanding,"" the airline said in a statement.', 'The aircraft was escorted by two fighter jets - a standard protocol followed by nations during a security threat - to the Italian airport, AFP  reported, adding that all passengers deboarded the aircraft and received assistance.', 'The airport operations were not affected. The US Federal Aviation Administration (FAA) confirmed the plane had landed safely ""after the crew reported a security issue.""', '', '', ""According to the flight's status on the American Airlines website, flight AA 292 departed New York's JFK airport at 8:14 pm on February 22 and was estimated to arrive at the Leonardo da Vinci Rome Fiumicino Airport in Fiumicino, Italy at around 5:30 pm local time."", 'Visuals on social media showed the Boeing 787-9 aircraft being escorted by the Italian Air Force before landing in Rome.', 'Track Latest News Live on NDTV.com and get news updates from India and around the world']"
