Title,Link,Paragraphs
Teen among five Palestinians killed by Israeli air strikes on Jenin,https://www.aljazeera.com/news/2025/2/1/israeli-drone-strike-kills-child-injures-two-in-west-banks-jenin,"['The deadly raids, which Israel calls the ‘Iron Wall’ campaign, were launched just days after a ceasefire was agreed on in Gaza.', 'Situation across West Bank, not only Jenin, ‘really catastrophic’: Palestinian activist', 'A teenager was among five people killed in Israeli air attacks in Jenin as the Israeli army’s deadly raids continued across the occupied West Bank.', 'In the first attack, an Israeli drone hit a group of people on a street in the city of Jenin, killing 16-year-old Ahmad al-Sadi and wounding two others critically, according to the Palestinian Wafa news agency and local officials.', 'The Palestinian Health Ministry later said four more had been killed in Israeli air strikes on the Jenin area.', 'The second and third attacks occurred minutes later in two separate locations, according to the governor of Jenin, Kamal Abu al-Rub.', '“After the strike that killed the child [Sadi], an Israeli drone strike hit a car in Qabatiya and killed two youths,” al-Rub told the AFP news agency.', '“Minutes later, another drone strike in Jenin killed two more youths who were on a motorcycle.”', 'The deadly raids, which Israel calls the “Iron Wall” campaign, were launched just days after a ceasefire was agreed upon in Gaza. Since then, Israeli forces have killed at least 20 Palestinians across the occupied territory, and wounded dozens of others.', 'In addition to the deadly attack on Jenin, the Israeli army also carried out intensive military operations in Tulkarem city and its refugee camp for a sixth consecutive day, forcing Palestinians to leave their homes.', 'Israeli forces also stormed several other areas of the occupied West Bank on Saturday, including the nearby Balata camp, Nablus and the al-Ein refugee camp.', '', '', '', 'The Israeli army carried out a series of raids overnight, including shooting at civilians in a car on Halhul-Hebron Bridge north of Hebron and arresting those inside, and setting a house ablaze near a mosque south of Hebron.', 'In a separate overnight raid, the Israeli military also fired gas grenades at houses in Hebron’s west as the military searched the home of freed prisoner Shehadeh al-Jiyawi, Wafa reported.', 'Besides raids, the Israeli military also carried out arrests, according to the Palestinian Information Center.', 'One Palestinian man was arrested after Israeli forces stormed into his house in the occupied West Bank city of Qalqilya. A second man, a student at Birzeit University, was arrested after Israeli forces stormed into his home in the Deir Ammar refugee camp, west of Ramallah.', 'Since October 2023, the Israeli army and settlers have killed at least 880 Palestinians in attacks across the occupied West Bank.', 'On Thursday, Palestine’s Prime Minister Mohammad Mustafa described what is happening in the occupied West Bank as “a systematic effort to destroy the foundations of the Palestinian state”.', '“We are witnessing military incursions into northern West Bank governorates, accompanied by killing, detention, infrastructure destruction and demolition of homes and structures. This demands urgent international action to put this to an end.”', 'Earlier this month, United Nations Secretary-General Antonio Guterres called for “maximum restraint” from Israeli forces. He told a UN Security Council meeting about his fears of “an existential threat to the integrity and contiguity” of Gaza and the occupied West Bank from Israel.', '', '', '', 'Follow Al Jazeera English:']"
Subscribe to Reuters to continue reading.,https://www.reuters.com/world/middle-east/israeli-military-operation-turns-jenin-refugee-camp-into-ghost-town-2025-02-04/,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
UN rapporteur warns of Israel’s ‘criminal’ practices in West Bank,https://www.middleeastmonitor.com/20250204-un-rapporteur-warns-of-israels-criminal-practices-in-west-bank/,"['Creating new perspectives since 2009', 'February 4, 2025 at 8:47 am', 'Bodies of Palestinians who lost their lives in the Israeli army attacks, are brought to cemetery to be buried in Jenin, West Bank on February 03, 2025 [Issam Rimawi/Anadolu Agency]', 'The UN Special Rapporteur on the Occupied Palestinian Territories, Francesca Albanese, warned on Sunday of the Israeli practices in the West Bank, which she described as “criminal”, the Palestinian news agency Wafa has reported. Albanese added that the “genocidal intent is evident in the way Israel targets the totality of the Palestinians.”', 'Wafa quoted the UN official as calling on the international community to intervene and halt the ongoing destruction, which she stated has expanded to encompass all occupied territories, not just Gaza. “It’s past the time to intervene to stop it,” she said.', 'Albanese also stated that she warned the UN General Assembly of this happening in her last report in October last year.', 'The Palestinian presidency had previously called for an urgent emergency session of the UN Security Council to force the Israeli occupation to stop its ongoing aggression against the Palestinian people in the West Bank. The occupation state’s attacks on the Jenin Governorate in the West Bank for the past 13 days alone have killed 25 Palestinians and wounded dozens of others.', 'READ: 2,100 Israeli assaults in occupied West Bank in January, report says', '', '', '', '', '', '', '', '', '', '', '']"
"Israeli military sets off massive explosions, destroying buildings in Jenin",https://www.washingtonpost.com/world/2025/02/02/israel-war-gaza-ceasefire-hostages-news-hamas/,"['The Israeli military blew up at least 20 buildings in the West Bank city of Jenin on Sunday, staging controlled demolitions that thundered across the region, where troops have been battling local militants in an operation dubbed Iron Wall.', 'Footage from local news channels showed the simultaneous explosions erupting in the northern West Bank and sending plumes of smoke towering over Jenin city and its adjacent refugee camp. Videos of the aftermath showed extensive damage on the ground: homes turned to ash and rubble, cars destroyed and small fires still burning amid the debris.', 'In a statement, the Israel Defense Forces said it had “dismantled” 23 structures after scanning “hundreds” of buildings for weapons, explosives labs and other “terrorist infrastructure.”', 'The Palestine Red Crescent Society said it was evacuating people who were trapped and providing them with medical care. On Saturday, at least five people were killed in Israeli strikes in the Jenin area, including a 16-year-old, the Palestinian Health Ministry said.', 'Follow World news', 'BEIRUT — Israeli Prime Minister Benjamin Netanyahu departed for Washington early Sunday to meet later in the week with President Donald Trump, in what will be the U.S. leader’s first meeting with a foreign head of state since returning to the White House last month.', '“The fact that this would be President Trump’s first meeting with a foreign leader since his inauguration is telling,” Netanyahu told reporters before boarding his plane, calling their meeting “a testimony to the strength of the Israeli-American alliance” and to the two men’s “personal friendship.”', 'The Israeli prime minister will be seeking to strengthen ties with Washington following a strained relationship with former president Joe Biden over the war in Gaza. “The decisions we made in the war have already changed the face of the Middle East,” Netanyahu said at the airport. “Our decisions and the courage of our soldiers have redrawn the map. But I believe that working closely with President Trump, we can redraw it even further and for the better.”', 'Netanyahu’s office said in a statement that negotiations on the second phase of the fragile Gaza ceasefire will begin on Monday, when he meets first with Middle East envoy Steve Witkoff. Trump and Netanyahu will meet on Tuesday, according to a statement from the prime minister’s office.', 'Netanyahu will relay Israel’s stance on the ceasefire, which Witkoff will take to Egyptian and Qatari mediators, the Saturday night statement said. Qatar has acknowledged that the second phase, which will require a hashing out of Gaza’s political future and an extension of the truce indefinitely, will be more difficult to negotiate than the first.', 'Netanyahu said he expects to discuss with Trump “victory over Hamas, achieving the release of all our hostages and dealing with the Iranian terror axis in all its components.”', 'BEIRUT — Syria’s interim president, Ahmed al-Sharaa, arrived in Riyadh on Sunday afternoon for his first foreign visit since toppling Bashar al-Assad’s regime in December. The rebel leader turned statesman will meet with Saudi Crown Prince Mohammed bin Salman, according to state news agencies for both countries.', 'The Syrian presidency released a photo of Sharaa and his foreign minister, Asaad al-Shaibani, aboard a Saudi government jet on Sunday morning.', 'The visit is a marker of the tidal shifts underway in Syria as its new Islamist leaders engage in diplomacy with the West and its allies and forcefully disavow the image that Syria will remain a client of Iran, as it was under Assad’s rule.', 'Iran’s influence in the Middle East has been dealt serious blows by Israel’s devastating wars in Gaza and Lebanon, as well as the fall of the Assad, presenting Saudi Arabia and other Arab heavyweights with a key opportunity to reassert their influence across the region.', 'Gulf states, while initially wary of Syria’s new leaders, have made overtures in recent days. On Thursday, Qatar’s emir visited Damascus to meet Sharaa, in the first visit of a foreign head of state to the Syrian capital since the rebels ousted Assad. Syria’s new government will be seeking support from Persian Gulf countries in financing the reconstruction of its war-ravaged country and economy and in pressuring international governments to lift the sanctions imposed on Syria under Assad’s rule.', 'Sharaa and Shaibani’s visit to Riyadh is expected to last two days, and it is not immediately clear when the meeting with Mohammed will happen. Sharaa appointed himself president of a transitional government for Syria on Wednesday, dissolving the country’s parliament, armed forces and constitution.', 'The foreign ministers of several Arab nations appeared to reject President Donald Trump’s suggestion that countries should help “clean out” Gaza, instead expressing “full support” for “the Palestinian people on their land,” in a statement this weekend that came out of diplomatic talks in Cairo.', 'The foreign ministers of Qatar, Jordan, Egypt, the United Arab Emirates and Saudi Arabia “rejected any efforts to encourage the transfer or uprooting of Palestinians from their land,” according to the statement Saturday. They also denounced any violation of Palestinians’ rights, “whether through settlement activities, the expulsion and demolition of homes, land annexation, or the displacement of Palestinians from their land.”', 'Trump said last month that he wanted Jordan and Egypt to take in more Palestinian refugees as part of a plan to “clean out” Gaza, a position advocated by some right-wing Israeli politicians and military hard-liners. Speaking to reporters aboard Air Force One, Trump recalled a recent conversation with Jordanian King Abdullah II, in which Trump said he advocated for Jordan to take in more Palestinians.', '“You’re talking about probably a million and a half people, and we just clean out that whole thing,” Trump said at the time, referring to the Gaza Strip.', '“I’d rather get involved with some of the Arab nations and build housing in a different location where they can maybe live in peace,” he added, saying the move could be temporary or long-term.', 'The Biden administration and human rights groups have opposed a forcible displacement of Palestinians in Gaza or the occupied West Bank. The leaders of many Arab nations have also objected to the idea, fearing that it would weaken the case for independent Palestinian statehood.', 'Annabelle Timsit and Gerry Shih contributed to this report.', 'Israeli authorities have released over 500 Palestinian prisoners in exchange for 13 Israeli hostages as part of a January ceasefire agreement between Israel and Hamas.', 'Under the terms of the deal, brokered after 15 months of war, Hamas will incrementally release 33 living Israeli hostages from captivity in Gaza over 42 days, the first of the deal’s three stages. In return, Israel has committed to releasing hundreds of imprisoned Palestinians. The latest wave of releases happened Saturday, with Hamas releasing three male hostages, including a U.S. citizen, in exchange for 183 Palestinian prisoners.', 'The majority of those Israel said it would release were detained after Hamas’s attack on Oct. 7, 2023. Some of them have been serving life sentences in Israeli prisons on charges of murder or other violent crimes. Others are minors or those imprisoned without charge.', 'Those released include journalists, activists, teachers, students and close relatives of high-profile Hamas figures, according to Samidoun, a group supporting Palestinian prisoners that the United States says is a fundraiser for the Popular Front for the Liberation of Palestine, which is under U.S. sanctions. Israel has described released figures as agitators or terrorists, saying they pose a threat to national security. These are some of them.', 'This is an excerpt from a full story.', 'JERUSALEM — Hamas released U.S. citizen Keith Siegel in the fourth round of hostages-for-prisoners exchanges under the Gaza ceasefire with Israel, and the Rafah crossing to Egypt reopened for the first time in eight months to allow medical evacuations.', 'Siegel, 65, a citizen of the United States and Israel, and two Israeli men — Ofer Kalderon, 54, and Yarden Bibas, 35 — were freed Saturday morning after 15 months in captivity in tightly choreographed handover ceremonies at two sites in Gaza. Their transfers were more orderly than previous releases.', 'Israel released 183 Palestinians, according to Wafa, the Palestinian Authority’s official news agency. They included 111 who were detained in Gaza by the Israeli military after Oct. 7, 2023, and held without trial in prisons where freed detainees and rights groups advocates say they’ve been subject to frequent abuse and violence.', 'Also Saturday, medical and humanitarian officials began evacuating the first group of seriously ill or wounded patients through the Rafah crossing with Egypt since it was closed by Israeli forces in May.', 'This is an excerpt from a full story.', 'The Israeli military blew up at least 20 buildings in the West Bank city of Jenin on Sunday, staging controlled demolitions that thundered across the region. Follow live updates on the ceasefire and the hostages remaining in Gaza.', 'The Israel-Gaza war: On Oct. 7, 2023, Hamas militants launched an unprecedented cross-border attack on Israel, killing about 1,200 people and taking civilian hostages. Israel declared war on Hamas in response, launching a ground invasion that fueled the biggest displacement in the region since Israel’s creation in 1948. In July 2024, Hamas leader Ismail Haniyeh was killed in an attack Hamas has blamed on Israel.', 'Hezbollah: In late 2024, Israel and Lebanon’s Hezbollah agreed to a ceasefire deal, bringing a tenuous halt to more than a year of hostilities that included an Israeli invasion of southern Lebanon. Israel’s airstrikes into Lebanon had been intense and deadly, killing over 1,400 people including Hasan Nasrallah, Hezbollah’s longtime leader. The Israel-Lebanon border has a history of violence that dates back to Israel’s founding.', '', '', '']"
Simultaneous explosions by Israeli military destroy buildings in the West Bank,https://www.nbcnews.com/news/world/israeli-military-destroys-buildings-west-bank-rcna190328,"['', '', '', '', '', '', '', '', '', '', 'The Israeli military destroyed almost two dozen buildings in Jenin, a city in the occupied West Bank, as Israel turned to the territory since it withdrew some of its troops during the ongoing ceasefire across the border in Gaza.', 'Video captured by Reuters showed a series of explosions tearing through the city, sending towering plumes of smoke into the sky.', 'In a statement Sunday, the Israel Defense Forces said it demolished 23 buildings in Jenin that were “used as terrorist infrastructure.”', 'Hamas called for an “escalation in the resistance” against Israel after the demolition in Jenin.', 'The number of casualties, if any, is unknown.', 'Israel launched an offensive in Jenin last month to “defeat terrorism,” according to Israeli Prime Minister Benjamin Netanyahu.', 'It is the Israeli army’s third major incursion into the city — a longtime stronghold of militant groups, including Hamas and Islamic Jihad — in less than two years.', 'On Sunday, a 16-year-old boy was among five people killed by Israeli airstrikes on Jenin, according to the Palestinian Health Ministry.', 'Violence by settlers and Israeli military operations has soared in the occupied territory since the war in the Gaza Strip began Oct. 7, 2023, when, Israeli officials say, 1,200 people were killed and around 250 were taken hostage in Hamas’ multipronged attacks on Israel.', 'In the year leading up to the attacks, 253 Palestinians were killed in the West Bank, according to a database kept by the United Nations Office for the Coordination of Humanitarian Affairs.', 'But since Oct. 7, 2023, the database shows the death toll has risen sharply, with 845 Palestinians killed.', ""And Israel's most recent offensive in January was launched just hours after President Donald Trump rescinded American sanctions on far-right settler groups and people accused of involvement in violence against Palestinians in the West Bank."", 'In Gaza, the IDF said an Israeli aircraft fired on a vehicle it said was traveling outside the “agreed inspection route,” which it claimed violated the ceasefire agreement between Israel and Hamas.', '“The IDF is prepared for any scenario and will continue to take any necessary actions to thwart immediate threats to its soldiers,” the statement read.', 'Both attacks coincided with Netanyahu’s departure Sunday for the United States, where he is set to meet with Trump.', 'Netanyahu, the first foreign leader to visit Trump since he was inaugurated last month, left Israel as negotiations for the second phase of talks were expected to begin Monday.', 'Meanwhile, the deputy head of Hamas, Mousa Abu Marzouk, will lead a delegation to visit the Russian capital, Moscow, on Monday, the RIA state news agency reported Sunday.', 'Russia has long held ties to governments and groups in the Middle East, including Israel, Iran, Lebanon and the Palestinian Authority.', 'Freddie Clayton is a freelance journalist based in London. ', '© 2025 NBCUniversal Media, LLC', '', '', '', '', '', '', '', '', '']"
IDF failed to stop West Bank terror in 2023 and 2024 - will 'Iron Wall' succeed? - analysis,https://www.jpost.com/israel-news/article-840335,"['Since October 7, 2023, the IDF has killed over 850 Palestinians in the West Bank, with over 90% of them said to be terrorists. It also said that it has arrested well over 6,000 Palestinians since the war began and carried out over 120 airstrikes in the territory.', 'In July 2023 and this past August, the IDF undertook massive and extended operations in Jenin and other parts of the northern West Bank. For a short amount of time, following these operations, there seemed to be a drop in terrorist activity. But this was short-lived, and Palestinian terror waves from the West Bank returned.', 'That is why on January 21, the IDF began Operation Iron Wall, its third major West Bank operation in less than two years, coupled with the nearly nightly raids it has been undertaking since March 2022. The question is: How is this operation different from the previous ones, and might it mean that the IDF won’t need to carry out another major one in six months?', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Israel destroys buildings in West Bank’s Jenin after killing elderly man,https://www.aljazeera.com/news/2025/2/2/multiple-mass-explosions-destroy-20-buildings-in-west-banks-jenin,"['Explosions heard throughout Jenin, part of Israeli military operation in the city and its adjacent refugee camp.', 'Israel has destroyed multiple buildings in the occupied West Bank’s Jenin refugee camp, hours after its forces killed a 73-year-old man, the Palestinian Ministry of Health said.', 'A spokesperson for the Israeli army said 23 buildings were destroyed on Sunday in Jenin “to prevent terrorist infrastructure from being established there”. The military also said it had killed 50 Palestinian fighters in the West Bank since mid-January.', 'Al Jazeera Arabic correspondents said the explosions blew up a residential block in the camp’s ad-Damj neighbourhood.', 'Palestinian news agency Wafa reported that the blasts were so powerful they were heard across the city and in surrounding towns.', 'The Palestinian foreign ministry condemned the military’s destruction of buildings in Jenin, describing it as a “brutal scene”.', 'President Mahmoud Abbas requested an urgent session of the UN Security Council to stop the destruction of entire residential blocks in the Jenin and Tulkarm camps.', 'In a separate incident in Arroub, in the southern West Bank, the Israeli army killed a 27-year-old man, named as Mohammed Amjad Hadoush, the Palestinian Health Ministry and the Palestinian Red Crescent said.', 'The Israeli military launched a major offensive in the occupied West Bank last month, dubbed “Iron Wall”, focused primarily on attacking Palestinian armed groups from the Jenin area, just after it began a ceasefire with the Palestinian group Hamas in Gaza on January 19.', 'Sunday’s explosions mark an escalation as Israel increasingly commits unrestrained attacks on Palestinian infrastructure.', '“The sounds are horrific,” Jenin resident Henna al-Haj Hassan told Al Jazeera via phone about the explosions.', 'Hassan said she and other Jenin residents have faced ongoing attacks for two weeks. She added that a curfew was in place, with shops and other businesses closed.', '', '', '', 'The director of Jenin Government Hospital, Wisam Baker, told Wafa some sections of the hospital were damaged due to the explosions, but no casualties were reported.', 'Many families are now displaced due to the demolitions, the news agency said.', 'Ahmed Tobasi, another Jenin resident, said the houses in the Jenin camp “are not really livable any more” due to Israel destroying infrastructure.', '“The Israeli army does not need any excuse to destroy our houses and displace us,” the lifelong Jenin resident told Al Jazeera.', '“This is a very long, old plan by the Israeli army, especially for the [refugee] camps, because they want to kill and make the Palestinian case die.”', 'He added: “So it’s not about terrorism; this is normal residences, people who live – and when you talk about one house, it’s not really one family living there. In Jenin camp, you find one house with three to four families.”', 'The explosions occurred shortly after a 73-year-old man was killed by Israeli gunfire in Jenin’s refugee camp, the Palestinian Health Ministry said on Sunday, the latest casualty of Israel’s swooping raids.', '“The Israeli army has set up multiple roadblocks and other checkpoints across the occupied West Bank and there have been at least 27 Palestinians who’ve been killed,” Al Jazeera’s Hamdah Salhut said.', '“Many of them are civilians, including a two-year-old girl who was shot in the head while eating dinner at home with her family, and a 73-year-old elderly man shot by Israeli forces this morning.”', 'Witnesses reported a large deployment of Israeli forces on Sunday morning around the towns of Tubas and Tammun, southeast of Jenin.', 'The army said early on Sunday that a “tactical group” had begun operations around Tammun and had uncovered weapons.', 'It added it was extending the “counterterrorism” operation to five villages.', 'It also distributed leaflets in Arabic saying the operation was meant to “eradicate armed criminals, the lackeys of Iran”.', 'The Israeli government accuses Iran, which backs armed groups across the Middle East including Hamas in Gaza, of attempting to send weapons and money to armed Palestinian groups in the occupied West Bank.', 'Israel’s Jenin operation has also forcibly displaced some 15,000 Palestinians.', '', '', '', 'Also on Sunday, Israeli settlers stormed a cemetery in Silwan town, south of the Old City in occupied East Jerusalem, under the protection of the Israeli army, according to Wafa.', 'Local sources quoted by the Palestinian news agency said the settlers cut the fence that the townspeople had placed around the cemetery and took control of it.', 'Meanwhile, Palestinian outlets reported that overnight, a mosque in the Bedouin village of Arab al-Mleihat, northwest of Jericho, was set on fire by Israeli settlers.', 'The Palestinian Ministry of Foreign Affairs condemned the attacks.', 'Violence by Israeli settlers and soldiers against Palestinians has surged across the occupied West Bank since the Gaza war broke out in 2023.', 'Soldiers or settlers have killed at least 882 Palestinians since the start of the war, according to the Palestinian Health Ministry.', 'The settlements are illegal under international law but continue to expand across the occupied West Bank and East Jerusalem with the full support of the Israeli government.', 'Follow Al Jazeera English:']"
Jenin mayor likens Israeli military operation to war in Gaza,https://www.cnn.com/2025/02/03/middleeast/jenin-mayor-israeli-military-operation-intl/index.html,"['', 'The mayor of Jenin, in the occupied West Bank, told CNN on Monday that the Israeli assault on the Jenin Refugee Camp was akin to the war in Gaza, saying it had destroyed 120 buildings and displaced 15,000 people.', '“What has been happening in Jenin city and the refugee camp over the past two weeks is similar to that of Gaza but on a smaller scale,” Mohammad Jarrar said Monday.', 'Hundreds of residential units make up the 120 destroyed buildings, he said, noting that the destruction had impacted thousands of families.', 'Jarrar described scenes of devastation amid a shortage of food, water and medication as services have been disrupted because of the operation. He added that displacement is expected to only further increase.', 'RELATED ARTICLE\nWith Gaza quiet, Israel is turning its focus on the West Bank. Here’s why', 'Israel launched its operation two days after the first stage of the Gaza ceasefire began, dubbing it “Operation Iron Wall.”', 'The Israeli military said the operation was aimed at eliminating “terrorists and terror infrastructure” and “ensuring that terrorism does not return to the camp after the operation is over – the first lesson from the method of repeated raids in Gaza.”', 'More than 40 Palestinians have been killed across the West Bank by the Israeli military since the operation was launched, according to the Palestinian Ministry of Health, which said that 25 of those people were from Jenin. Dozens more have been injured, the ministry said.', 'Israeli Finance Minister Bezalel Smotrich, a far-right nationalist who opposes the Israel-Hamas ceasefire, said in a January statement that security in the West Bank had been added to the country’s “war goals.”', 'Smotrich publicly toyed with quitting the Israeli government when the Gaza ceasefire was announced, but decided to stay in the cabinet after saying he had received assurances from Netanyahu on his commitment to continue Israel’s military operations in the West Bank and Gaza.', 'Jarrar told CNN that the military operation on Jenin was “political,” noting the desire of some in Israeli government to annex the West Bank and encourage Palestinians to emigrate from the territory.', 'The mayor said that schools might be opened to take in displaced people, as was seen in Gaza over the 15-month-long war.', '“Today the (Jenin) camp is uninhabitable and would require major reconstruction efforts for it to stand on its feet,” he said, adding that the “crisis is huge,” and that alternative housing for the displaced might be needed for around six months.', 'Last week, Israeli Defense Minister Israel Katz said that Israeli troops would remain in the Jenin camp once their current operation is complete – a significant change in Israeli policy.', 'Jenin’s mayor told CNN that the minister’s statement is “worrying” and raises “many questions about the future of the West Bank, not just Jenin and its camp.”', 'Meanwhile, the United Nations Relief and Works Agency for Palestine Refugees (UNRWA), said in a statement Monday that “Jenin camp has been rendered a ghost town.”', '“Operations conducted both by Israeli and Palestinian security forces have led to the forced displacement of thousands of camp residents, many of whom will now have nowhere to return to. The basics of life are gone,” it said.', '“Today’s shocking scenes in the West Bank undermine the fragile ceasefire reached in Gaza, and risk a new escalation,” the UNRWA statement added.', '© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.\nCNN Sans ™ & © 2016 Cable News Network.', '', '', '', '', '']"
"Updates: Israel attacks Jenin buildings, Netanyahu to US for Trump talks",https://www.aljazeera.com/news/liveblog/2025/2/2/live-israels-netanyahu-heads-to-us-to-meet-trump-before-ceasefire-talks,"['', ""Netanyahu flies to US to discuss 'victory over Hamas' with Trump"", 'This live page is now closed.', 'Thank you for joining today’s live coverage.', 'You can read our story about the latest Israeli attacks on Jenin here.', 'And you can read our story about Netanyahu’s trip to the US here.', 'We’ll be closing this live page soon, so let’s bring you up to speed with today’s key developments:', 'A total of 46 sick and wounded Palestinians have crossed from the Gaza Strip into Egypt for medical treatment.', 'The Rafah border crossing, which had been closed for more than eight months due to Israeli military operations in southern Gaza, reopened on Saturday, allowing for the transfer of patients.', 'The Israeli army says at least 50 Palestinians have been killed in the northern West Bank since it started a major operation in the occupied territory nearly two weeks ago.', 'At least 35 gunmen were killed during ground operations in Jenin, Tulkarem, and the Tamun area, with an additional 15 killed in targeted drone strikes, the army claimed.', 'In addition, the Israeli army said more than 100 Palestinians have been detained.', 'Palestinian health officials say several civilians have been killed in the Israeli attacks, including a two-year-old girl.', 'The deadly raids, which Israel calls the “Iron Wall” campaign, were launched right after the Gaza ceasefire deal was agreed.', 'Jordanian state media is reporting that King Abdullah will meet US President Donald Trump on February 11 at the White House.', 'The announcement comes a day after foreign ministers of five Arab countries, including Jordan, issued a joint statement rejecting the forced displacement of Palestinians from their land, following Trump’s call for Egypt and Jordan to take in Palestinians from Gaza.', 'Egypt and Jordan – key US allies in the region – have repeatedly rejected Trump’s proposal to “clean out” Gaza. More than 2.39 million registered Palestinian refugees live in Jordan, according to UNRWA, while tens of thousands are in Egypt.', 'The Palestinian group has released a statement on the ongoing Israeli military raids on the occupied West Bank.', 'Here’s a summary of its translated remarks:', 'Jenin resident Ahmed Tobasi has told Al Jazeera that the Israeli army has been destroying houses and demolishing roads since the start of its large-scale military assault nearly two weeks ago.', '“For sure now, we see that most of the houses in Jenin camp are not really livable any more,” he said.', 'The Israeli army claimed in a statement that the structures it blew up today “were used as terrorist infrastructure”.', 'Tobasi said: “I was born in Jenin camp, I grew up in Jenin camp, I’ve lived my whole in Jenin camp and I know that the Israeli army does not need any excuse to destroy our houses and displace us.', '“This is a very long, old plan by the Israeli army, especially for the camps, because they want to kill and make the Palestinian case die.”', 'He added: “So it’s not about terrorism; these are normal residences, people who live – and when you talk about one house, it’s not really one family living there. In Jenin camp, you find one house with three to four families.”', 'From the present assault to the violence of the second Intifada from 2000 to 2005, Jenin has rarely been far from the worst of the storm that continues to rage across the occupied West Bank.', 'The refugee camp there is thought to be home to about 14,000 people, nearly all descendants of the Palestinians dispossessed of their land and homes when Israel was created in 1948.', 'Conditions in the camp are desperate. Of the 10 camps across the West Bank, Jenin has the highest rates of unemployment and poverty, according to UNRWA.', 'It is also home to several armed groups, including the Palestinian Islamic Jihad.', '“These groups [in Jenin] started as a community defence mechanism, so the more violent Israel’s raids got and the more systemic, the bigger these groups grew,” Tahani Mustafa, an expert on Israel-Palestine for the International Crisis Group, told Al Jazeera last year.', '', '', '', 'Follow Al Jazeera English:']"
No title found,https://www.msn.com/en-za/news/other/four-palestinians-killed-in-israeli-airstrikes-on-jenin-amid-ongoing-operation/vi-AA1ylmFI,[]
